Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
10/06/2011,06/02/2014,14s,17560000,13,0,0
13/06/2011,06/02/2014,14s,32600000,13,0,0
15/06/2011,06/02/2014,14s,5600000,13,0,0
16/06/2011,06/03/2013,13s,38000,15.65,0,0
17/06/2011,06/02/2014,14s,3000000,13,0,0
20/06/2011,03/11/2013,13s,3000000,14.99,0,0
23/06/2011,06/02/2014,14s,3000000,13,0,0
30/06/2011,06/02/2014,14s,44050000,13,0,0
05/07/2011,06/02/2014,14s,7500000,13,0,0
06/07/2011,06/02/2014,14s,5035844,13,0,0
07/07/2011,06/02/2014,14s,250000,13,0,0
11/07/2011,06/02/2014,14s,5000000,13,0,0
12/07/2011,29/07/2013,13s,2080000,14.25,0,0
22/07/2011,06/02/2014,14s,1560000,13,0,0
22/07/2011,06/03/2013,13s,15992000,15.65,0,0
25/07/2011,06/02/2014,14s,1040000,13,0,0
26/07/2011,06/02/2014,14s,680000,13,0,0
27/07/2011,06/02/2014,14s,970000,13,0,0
29/07/2011,06/02/2014,14s,80000,13,0,0
01/08/2011,25/07/2016,16s,70325000,14.25,0,0
02/08/2011,14/01/2013,13s,5000000,19,0,0
03/08/2011,25/07/2016,16s,2000000,14.25,0,0
04/08/2011,25/07/2016,16s,5930000,14.25,0,0
08/08/2011,29/07/2013,13s,730000,14.25,0,0
08/08/2011,06/02/2014,14s,11110000,13,0,0
08/08/2011,14/01/2013,13s,3000000,19,0,0
08/08/2011,03/11/2013,13s,950000,14.99,0,0
09/08/2011,30/09/2013,13s,10000000,13.3,0,0
09/08/2011,03/11/2013,13s,8320000,14.99,0,0
09/08/2011,29/07/2013,13s,8020000,14.25,0,0
09/08/2011,06/02/2014,14s,5000000,13,0,0
10/08/2011,25/07/2016,16s,7500000,14.25,0,0
10/08/2011,03/11/2013,13s,8320000,14.99,0,0
10/08/2011,29/07/2013,13s,6420000,14.25,0,0
15/08/2011,06/02/2014,14s,14055000,13,0,0
16/08/2011,03/11/2013,13s,8320000,14.99,0,0
16/08/2011,29/07/2013,13s,6420000,14.25,0,0
16/08/2011,30/09/2013,13s,14500000,13.3,0,0
16/08/2011,06/02/2014,14s,14055000,13,0,0
17/08/2011,03/11/2013,13s,8670000,14.99,0,0
17/08/2011,29/07/2013,13s,6420000,14.25,0,0
18/08/2011,03/11/2013,13s,8320000,14.99,0,0
18/08/2011,29/07/2013,13s,6420000,14.25,0,0
19/08/2011,03/11/2013,13s,8320000,14.99,0,0
19/08/2011,29/07/2013,13s,6420000,14.25,0,0
22/08/2011,17/02/2014,14s,4500000,13.45,0,0
23/08/2011,14/01/2013,13s,250000,19,0,0
26/08/2011,25/07/2016,16s,300000,14.25,0,0
29/08/2011,30/09/2013,13s,470000,13.3,0,0
29/08/2011,25/07/2016,16s,1300000,14.25,0,0
29/08/2011,06/02/2014,14s,2380000,13,0,0
30/08/2011,14/01/2013,13s,19400000,19,0,0
30/08/2011,30/09/2013,13s,1812260,13.3,0,0
30/08/2011,25/07/2016,16s,7500000,14.25,0,0
01/09/2011,06/02/2014,14s,9520000,13,0,0
01/09/2011,25/07/2016,16s,200000,14.25,0,0
