Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
16/07/2019,26006666,15690697,95999999,38000000,0,98662730,8000000,44666,0,,0,0,5000000,8112356,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2019,21009798,6889125,51424743,11000000,37609,44597470,3000000,31000000,380190,,1000000,0,0,0,0,,0,,,,107506193,,,,,,,,,,,,,,,,,,,,,,
18/07/2019,38000000,3499808,13454628,16000000,10000000,33473000,3000000,21000000,1000000,,1000000,5410,5000000,0,0,,0,,,,264362000,,,,,,,,,,,,,,,,,,,,,,
19/07/2019,10000000,7936936,76101732,29710000,16000000,32498981,6000000,45000000,0,,1000000,0,50000,50000000,0,,0,,,,251978474,,,,,,,,,,,,,,,,,,,,,,
22/07/2019,4769500,16218000,5117374,9210580,6000000,28700000,0,5000000,9000000,,0,0,5000000,0,0,,0,,,,150391593,,,,,,,,,,,,,,,,,,,,,,
23/07/2019,23000000,22593978,9035262,2985893,6000000,36300779,0,45000000,9000000,,0,0,248514,344740,0,,0,,,,98060251,,,,,,,,,,,,,,,,,,,,,,
24/07/2019,14000000,27681626,4523746,12908428,0,31093245,1000000,13000000,0,,1000000,0,0,0,0,,0,,,,123619969,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,8025776,22326756,12419309,9600000,0,34260163,985217,206249,35000,,141114,0,5000000,0,0,,0,,,,226539912,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,2900615,27166149,52018931,8000000,2000000,7167600,0,19000000,9000000,,921610,286619,5000000,16915803,0,,0,,,,115914159,,,,,,,,,,,,,,,,,,,,,,
29/07/2019,1673739,19561027,13480691,4048474,2000000,17019803,0,22000000,18000000,,0,0,187412,1310000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2019,14945680,8247957,61081197,10645358,5000000,28443300,0,65000000,0,,49000000,12471,0,1833000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2019,51892324,7888357,94056394,10620000,59575,36974064,677768,5446720,2000000,,0,0,0,0,0,,0,,,,180412974,,,,,,,,,,,,,,,,,,,,,,
01/08/2019,8000000,9428469,81419850,4489499,3000000,229110510,17000000,20000000,2000000,,0,0,2000000,0,0,,0,,,,297749498,,,,,,,,,,,,,,,,,,,,,,
02/08/2019,43502900,5500000,64067438,1043789,777224,21200000,553560,0,5000000,,128255,0,2000000,0,0,,0,,,,170338935,,,,,,,,,,,,,,,,,,,,,,
06/08/2019,36896450,9303724,29154789,300000,78787,27490000,27797,2000000,50000,,2000000,0,0,5000000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2019,23008157,17221215,46160000,15307956,5000000,11684174,1000000,47603,331588,,5000000,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2019,69052158,26389302,8030000,12745178,79482,15369100,0,10000000,0,,0,0,10000,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
