Date,Institution,91D,182D,364D,2Yr,3Yr,5Yr,6Yr,7Yr,10Yr,15Yr,20Yr,7Yr ESLA,10Yr ESLA,12Yr ESLA,Total
01/06/2020,rural banks,410112544,177311427,102627483,81799623,90973066,43366674,898476,12314776,,985012,4415817,,,,924804898
01/06/2020,SSNIT,113122,118892,114999517,192998700,46679000,160400000,,5000000,42320000,,,209358285,152000000,15011000,923987516
01/06/2020,Pension,,,11903114,480295389,746286649,1111347312,177363500,286777104,1855602369,823831284,4186697,189218150,392819118,101563977,6079630686
01/06/2020,others,5334650745,1093706706,369462472,1296017648,1046418688,923556285,341675796,198376403,278206819,54833026,27223532,179161207,852189934,653129896,11995479261
01/06/2020,Total,8760188492,2935302339,4964183467,12160657352,15725907335,23478245316,2286810477,5319904038,9217884587,14883318228,162131557,2259566936,3740433064,1629522362,1.06E+11
01/07/2020,BoG,137322839,2324173,3357858,2941072,82150021,165462167,55000,178131500,2486799,4155633000,77000,57028843,,,4786970272
01/07/2020,Commercial Banks,1170293803,516632815,3047302028,6495614434,6694124398,8277359287,1195159052,2438194779,1376071963,3309998605,66914344,929414162,1340885599,602873275,36857965269
01/07/2020,Firms/Inst,1419645614,873675792,1336026598,3178454908,4564837147,3735045828,703619095,624614552,1580094038,647019370,53038229,708755324,950336241,230474511,20375162736
01/07/2020,Insurance companies,11480944,93551373,17268083,47702266,90191823,112640130,49497702,67871750,127330853,72505932,,35789032,51932317,,777762205
01/07/2020,Foreign investors,36106,77371,17252,253137461,2944561142,9516667350,129903286,1742499824,5173500444,5743054159,9995000,6125060,20441,15000000,25519594896
01/07/2020,rural banks,432472026,197608679,97955628,83278604,96731811,49261213,1094329,14470339,,1914399,3493041,,,,978280069
01/07/2020,SSNIT,113122,118892,94576517,223062500,35654000,79900000,,5000000,42320000,,,149833285,152000000,,782578316
01/07/2020,Pension,,,18662946,474474453,752109141,1130653145,184502522,285829601,1892878484,854269146,5324761,191225985,393609160,106162193,6183539344
01/07/2020,others,5469046354,1099632257,377507004,1406279762,1100863232,1146573316,381627424,220088617,317513275,49256950,23289182,181395245,851649306,675012383,12624721924
01/07/2020,Total,8640410808,2783621352,4992673914,12164945460,16361222715,24213562436,2645458410,5576700962,10512195856,14833651561,162131557,2259566936,3740433064,1629522362,1.09E+11
01/08/2020,BoG,69734336,1208274,2880012,2936072,547661021,165462167,55000,93131500,2486799,3979046333,107500,,,,4864709014
01/08/2020,Commercial Banks,1366902437,530292108,2442462485,8015651605,6995083722,8480405294,1181519020,1796576223,2899316639,3287571911,67073602,983895012,1355663576,753585987,39402413634
01/08/2020,Firms/Inst,1407436174,890217414,1375125890,3271980554,4852561927,3783846943,710528674,691394858,1753305064,653072698,50726078,709983939,931183634,659098793,21081363847
01/08/2020,Insurance companies,10744674,97309393,19278083,49069491,95831155,114740784,49497702,67109131,132724853,72505932,,35789032,51932317,,796532547
01/08/2020,Foreign investors,5314,77371,17252,289507920,2971752187,9493365592,129903286,1693620166,5147274411,5807974159,9995000,6125060,168248,,25549785966
01/08/2020,rural banks,447844377,216465898,107077874,91815216,96978623,55567315,1094329,12976057,8000000,1914399,3493041,,,,1043227129
01/08/2020,SSNIT,116846,118892,80646517,172836000,45664000,125452000,,,42320000,,,148542000,157000000,,772696255
01/08/2020,Pension,,,24391821,503027915,754265940,1144770349,184502522,302267211,1939358759,854269146,5324761,194993584,392528281,106718946,6299700289
01/08/2020,others,5582556382,1118348926,380669904,1506122554,1107688957,1191400872,388357877,172158074,387409331,70630316,25411575,180238309,851957008,110118636,12962950085
