Trade Date,Currency,Pairs code,Buying,Selling,Mid Rate,
07-Jun-16,USD,USDGHS,3.8557,3.8597,3.8577,
07-Jun-16,Pound Sterling,GBPGHS,5.6127,5.6193,5.616,
07-Jun-16,Euro,EURGHS,4.3808,4.3846,4.3827,
08-Jun-16,USD,USDGHS,3.8618,3.8658,3.8638,
08-Jun-16,Pound Sterling,GBPGHS,5.6208,5.629,5.6249,
08-Jun-16,Euro,EURGHS,4.4016,4.4045,4.4031,
09-Jun-16,USD,USDGHS,3.8672,3.871,3.8691,
09-Jun-16,Pound Sterling,GBPGHS,5.5889,5.5967,5.5928,
09-Jun-16,Euro,EURGHS,4.3783,4.3813,4.3798,
10-Jun-16,USD,USDGHS,3.8686,3.8726,3.8706,
10-Jun-16,Pound Sterling,GBPGHS,5.5503,5.5575,5.5539,
10-Jun-16,Euro,EURGHS,4.3631,4.3661,4.3646,
10-Jun-16,USD,USDGHS,3.8686,3.8726,3.8706,
10-Jun-16,Pound Sterling,GBPGHS,5.5503,5.5575,5.5539,
10-Jun-16,Euro,EURGHS,4.3631,4.3661,4.3646,
13-Jun-16,USD,USDGHS,3.872,3.876,3.874,
13-Jun-16,Pound Sterling,GBPGHS,5.5288,5.5365,5.5327,
13-Jun-16,Euro,EURGHS,4.3751,4.3805,4.3778,
14-Jun-16,USD,USDGHS,3.8792,3.8832,3.8812,
14-Jun-16,Pound Sterling,GBPGHS,5.472,5.4792,5.4756,
14-Jun-16,Euro,EURGHS,4.3484,4.352,4.3502,
15-Jun-16,USD,USDGHS,3.8968,3.9008,3.8988,
15-Jun-16,Pound Sterling,GBPGHS,5.5299,5.5368,5.5334,
15-Jun-16,Euro,EURGHS,4.3812,4.3842,4.3827,
16-Jun-16,USD,USDGHS,3.8957,3.8997,3.8977,
16-Jun-16,Pound Sterling,GBPGHS,5.4785,5.4857,5.4821,
16-Jun-16,Euro,EURGHS,4.3401,4.3444,4.3423,
17-Jun-16,USD,USDGHS,3.8974,3.9014,3.8994,
17-Jun-16,Pound Sterling,GBPGHS,5.5674,5.5743,5.5709,
